"Customer Name","Item Name","Stock Code","# Sold","Category","Supplier","Stock Level","Price","Cost","Profit","Margin","Markup","Discounts","Tax","Total","# Refunded","Total","Balance"
"","SMOK RPM 5 PRO KIT","3676080169","3","MOD","GLOBAL DIST","2.00","$161.97","$81.00","$80.97","49.99%","99.96%","$0.00","$11.34","$173.31","0.00","$0.00","$173.31"
"","GLASS BOWL SA 81","9999989294","1","GLASS ACC","GLOBAL DIST","12.00","$24.99","$6.50","$18.49","73.99%","284.46%","$0.00","$1.75","$26.74","0.00","$0.00","$26.74"
"","SMOK RPM 4 RPM POD","4069568827","3","MOD","GLOBAL DIST","54.00","$10.99","$5.31","$5.68","51.68%","106.97%","$0.00","$0.77","$11.76","0.00","$0.00","$11.76"
"","SMOK ACRO KIT","4069568053","1","MOD","GLOBAL DIST","4.00","$41.99","$21.00","$20.99","49.99%","99.95%","$0.00","$2.94","$44.93","0.00","$0.00","$44.93"
"","BOVEDA 8 GRM","5066100341","20","MISC","GLOBAL DIST","276.00","$19.80","$6.00","$13.78","69.60%","230.00%","$0.02","$1.40","$21.18","0.00","$0.00","$21.18"
"","RESCUE MOUTHWASH","4023235569","7","MISC","MIDWEST","5.00","$209.93","$77.00","$130.44","62.13%","172.64%","$2.49","$14.52","$221.96","0.00","$0.00","$221.96"
"","SMOK NOVO POD CLEAR MESHED","3676083917","9","MOD","GLOBAL DIST","81.00","$38.97","$19.53","$19.44","49.88%","99.54%","$0.00","$2.73","$41.70","0.00","$0.00","$41.70"
"","HERBAL CLEAN QCARBO 20 CLEAR","1996255524","4","DETOX","GLOBAL DIST","0.00","$107.96","$50.00","$55.96","51.83%","115.92%","$2.00","$7.42","$113.38","0.00","$0.00","$113.38"
"","SOUL STICKS BACK FLOW CONE","7359490771","41","SMOKE ODOR","GLOBAL DIST","13.00","$122.59","$48.79","$73.44","59.91%","151.26%","$0.36","$8.58","$130.81","0.00","$0.00","$130.81"
"","ALL IN ONE HAPPY FLOWER PK","8951326261","1","MISC","GLOBAL DIST","2.00","$39.99","$16.00","$22.87","57.19%","149.94%","$1.12","$2.72","$41.59","0.00","$0.00","$41.59"
"","SMOK LP1 COIL","4069568533","10","MOD","GLOBAL DIST","90.00","$35.98","$18.00","$17.98","49.97%","99.89%","$0.00","$2.52","$38.50","0.00","$0.00","$38.50"
"","LED BAG","4176419277","1","MISC","GLOBAL DIST","3.00","$49.99","$20.00","$29.99","59.99%","149.95%","$0.00","$3.50","$53.49","0.00","$0.00","$53.49"
"","IBC 33","8163545033","4","SMOKE ODOR","GLOBAL DIST","2.00","$55.96","$22.68","$30.56","54.61%","146.74%","$2.72","$3.73","$56.97","0.00","$0.00","$56.97"
"","SMOK NOVO 4 MINI POD","3676080177","3","MOD","GLOBAL DIST","27.00","$7.99","$3.99","$4.00","50.06%","100.25%","$0.00","$0.56","$8.55","0.00","$0.00","$8.55"
"","IBC 6","8163544906","3","SMOKE ODOR","GLOBAL DIST","2.00","$41.97","$17.49","$23.88","56.90%","139.97%","$0.60","$2.90","$44.27","0.00","$0.00","$44.27"
"","IBC 34","8163545034","3","SMOKE ODOR","GLOBAL DIST","1.00","$44.97","$18.00","$24.97","55.53%","149.83%","$2.00","$3.01","$45.98","0.00","$0.00","$45.98"
"","INCENSE HOLD 317713","9999933696","1","SMOKE ODOR","GLOBAL DIST","0.00","$32.99","$14.50","$18.49","56.05%","127.52%","$0.00","$2.31","$35.30","0.00","$0.00","$35.30"
"","INCENSE HOLD 317715 BIG SIZE CONE & INCENSE","9999913626","2","SMOKE ODOR","GLOBAL DIST","0.00","$45.98","$20.00","$25.23","54.87%","129.90%","$0.75","$3.17","$48.40","0.00","$0.00","$48.40"
"","SMOK NOVO X KIT","4069564799","2","MOD","GLOBAL DIST","2.00","$59.98","$30.00","$29.98","49.98%","99.93%","$0.00","$4.20","$64.18","0.00","$0.00","$64.18"
"","SMOK NOVO X POD .8 MTL","4069564854","15","MOD","MIDWEST","30.00","$59.95","$30.00","$29.95","49.96%","99.83%","$0.00","$4.20","$64.15","0.00","$0.00","$64.15"
"","WHITE SEASHELL W/ PEARL","7861257968","3","SMOKE ODOR","GLOBAL DIST","3.00","$41.97","$20.01","$21.60","51.47%","109.75%","$0.36","$2.91","$44.52","0.00","$0.00","$44.52"
"","PURPLE BOWL","7861257967","1","SMOKE ODOR","GLOBAL DIST","0.00","$6.99","$3.67","$3.32","47.50%","90.46%","$0.00","$0.49","$7.48","0.00","$0.00","$7.48"
"","HAMZA HAND","7861257950","1","SMOKE ODOR","GLOBAL DIST","2.00","$29.99","$13.33","$16.66","55.55%","124.98%","$0.00","$2.10","$32.09","0.00","$0.00","$32.09"
"","GONESH BRASS HOLDER","7861220221","1","SMOKE ODOR","GLOBAL DIST","3.00","$6.99","$3.13","$3.86","55.22%","123.32%","$0.00","$0.49","$7.48","0.00","$0.00","$7.48"
"","BRASS MDM INS HOLDER","8167000006","5","SMOKE ODOR","GLOBAL DIST","1.00","$34.95","$16.65","$14.89","42.60%","109.91%","$3.41","$2.21","$33.75","0.00","$0.00","$33.75"
"","IBB 13","8163553013","1","SMOKE ODOR","GLOBAL DIST","1.00","$22.99","$10.00","$12.99","56.50%","129.90%","$0.00","$1.61","$24.60","0.00","$0.00","$24.60"
"","IB 13","8163550013","1","SMOKE ODOR","GLOBAL DIST","1.00","$22.99","$10.00","$12.99","56.50%","129.90%","$0.00","$1.61","$24.60","0.00","$0.00","$24.60"
"","IB 86","8163550086","1","SMOKE ODOR","GLOBAL DIST","0.00","$19.99","$9.00","$10.99","54.98%","122.11%","$0.00","$1.40","$21.39","0.00","$0.00","$21.39"
"","IB 209","8163550209","1","SMOKE ODOR","GLOBAL DIST","0.00","$22.99","$10.00","$12.99","56.50%","129.90%","$0.00","$1.61","$24.60","0.00","$0.00","$24.60"
"","IB 97","8163550097","1","SMOKE ODOR","GLOBAL DIST","0.00","$22.99","$10.00","$12.99","56.50%","129.90%","$0.00","$1.61","$24.60","0.00","$0.00","$24.60"
"","IB 96","8163550096","1","SMOKE ODOR","GLOBAL DIST","0.00","$22.99","$10.00","$12.99","56.50%","129.90%","$0.00","$1.61","$24.60","0.00","$0.00","$24.60"
"","IB 204","8163550204","1","SMOKE ODOR","GLOBAL DIST","0.00","$22.99","$10.00","$12.99","56.50%","129.90%","$0.00","$1.61","$24.60","0.00","$0.00","$24.60"
"","VAPO LUXE Q 0.8 MESH POD 2ML","4349863127","0","MOD","GLOBAL DIST","36.00","$0.00","$0.00","-$0.86","0","0.00%","$0.86","-$0.06","$14.07","4.00","$16.04","-$1.97"
"","IB 66","8163554066","1","SMOKE ODOR","GLOBAL DIST","0.00","$19.99","$9.00","$10.99","54.98%","122.11%","$0.00","$1.40","$21.39","0.00","$0.00","$21.39"
"","IB 64","8163554064","1","SMOKE ODOR","GLOBAL DIST","0.00","$22.99","$10.00","$12.99","56.50%","129.90%","$0.00","$1.61","$24.60","0.00","$0.00","$24.60"
"","IB 206","8163550206","1","SMOKE ODOR","GLOBAL DIST","0.00","$22.99","$9.50","$13.49","58.68%","142.00%","$0.00","$1.61","$24.60","0.00","$0.00","$24.60"
"","IB 200","8163550200","1","SMOKE ODOR","GLOBAL DIST","0.00","$22.99","$10.00","$12.99","56.50%","129.90%","$0.00","$1.61","$24.60","0.00","$0.00","$24.60"
"","IBC 28","8163545028","2","SMOKE ODOR","GLOBAL DIST","0.00","$69.98","$31.00","$38.98","55.70%","125.74%","$0.00","$4.90","$74.88","0.00","$0.00","$74.88"
"","VAPO XROS 2 KIT","4349861702","4","MOD","GLOBAL DIST","1.00","$155.96","$76.00","$79.12","50.73%","105.21%","$0.84","$10.86","$165.98","0.00","$0.00","$165.98"
"","SB WHIP CHARGER SMALL","1149070301","1","BEST WHIP","GLOBAL DIST","2.00","$49.99","$28.00","$21.99","43.99%","78.54%","$0.00","$3.50","$53.49","0.00","$0.00","$53.49"
"","SB WHIP CHARGER BIG","1149070321","1","BEST WHIP","GLOBAL DIST","2.00","$59.99","$31.00","$28.99","48.32%","93.52%","$0.00","$4.20","$64.19","0.00","$0.00","$64.19"
"","GALAXY GAS 0.5 L","5004237046","34","BEST WHIP","GLOBAL DIST","0.00","$1019.66","$623.22","$386.44","37.90%","63.61%","$10.00","$70.70","$1080.36","0.00","$0.00","$1080.36"
"","GOLD 1000K","4996496564","7","MISC","GLOBAL DIST","1.00","$48.93","$13.44","$31.87","65.13%","264.06%","$3.62","$3.17","$48.48","0.00","$0.00","$48.48"
"","RHINO 7 2000K","0744334854","6","MISC","GLOBAL DIST","3.00","$47.94","$11.52","$36.42","75.97%","316.15%","$0.00","$3.36","$51.30","0.00","$0.00","$51.30"
"","VAPO XROS .8 MESH POD","4349863324","40","MOD","GLOBAL DIST","0.00","$169.90","$85.20","$81.97","48.25%","99.41%","$2.73","$11.71","$178.88","0.00","$0.00","$178.88"
"","VAPO XROS 2 NANO KIT","4349863075","4","MOD","GLOBAL DIST","2.00","$159.96","$80.00","$79.96","49.99%","99.95%","$0.00","$11.20","$171.16","0.00","$0.00","$171.16"
"","RHINO X 500K","4321675851","3","MISC","GLOBAL DIST","7.00","$26.97","$8.49","$18.48","68.52%","217.67%","$0.00","$1.89","$28.86","0.00","$0.00","$28.86"
"","VAPORESSO XROS 0.6 MESH POD COREX 2.0","4349863322","359","MOD","MIDWEST","64.00","$1534.35","$626.27","$863.05","56.25%","145.00%","$45.03","$104.26","$1593.58","0.00","$0.00","$1593.58"
"","RHINO 69 25000","3189445369","11","MISC","GLOBAL DIST","36.00","$87.89","$16.50","$70.55","80.27%","432.67%","$0.84","$6.10","$93.15","0.00","$0.00","$93.15"
"","VAPO XROS 3 KIT","4349862261","8","MOD","MIDWEST","3.00","$319.92","$133.00","$181.92","56.86%","140.54%","$5.00","$22.05","$336.97","0.00","$0.00","$336.97"
"","VIP 10000K","8718889131","12","MISC","GLOBAL DIST","0.00","$95.88","$21.00","$74.88","78.10%","356.57%","$0.00","$6.72","$102.60","0.00","$0.00","$102.60"
"","VAPORESSO XROS 3 MINI KIT","4349862317","4","MOD","GLOBAL DIST","2.00","$115.96","$56.00","$59.96","51.71%","107.07%","$0.00","$8.12","$124.08","0.00","$0.00","$124.08"
"","GEEK VAPE T200 KIT","7462280778","1","MOD","GLOBAL DIST","0.00","$119.99","$60.00","$59.99","50.00%","99.98%","$0.00","$8.40","$128.39","0.00","$0.00","$128.39"
"","UWELL CALIBURN A3 .8 POD","4173651403","3","MOD","GLOBAL DIST","34.00","$16.29","$7.50","$8.79","53.96%","117.20%","$0.00","$1.14","$17.43","0.00","$0.00","$17.43"
"","UWELL CALIBURN A2 UN2 POD","4173650260","47","MOD","GLOBAL DIST","166.00","$216.95","$89.17","$122.90","56.65%","143.30%","$4.88","$14.86","$226.93","0.00","$0.00","$226.93"
"","UWELL CALIBURN A2 KIT","4173650257","3","MOD","GLOBAL DIST","5.00","$86.97","$42.00","$44.97","51.71%","107.07%","$0.00","$6.09","$93.06","0.00","$0.00","$93.06"
"","UWELL CALIBURN A2S KIT","4173650801","3","MOD","GLOBAL DIST","1.00","$86.97","$42.00","$44.97","51.71%","107.07%","$0.00","$6.09","$93.06","0.00","$0.00","$93.06"
"","IBC 8","8163545008","1","SMOKE ODOR","GLOBAL DIST","1.00","$32.99","$14.00","$18.99","57.56%","135.64%","$0.00","$2.31","$35.30","0.00","$0.00","$35.30"
"","IBC 3","8163545003","1","SMOKE ODOR","GLOBAL DIST","1.00","$32.99","$14.00","$17.59","53.32%","135.64%","$1.40","$2.21","$33.80","0.00","$0.00","$33.80"
"","POP HIDEN CAN","9265624121","2","GLASS ACC","GLOBAL DIST","9.00","$19.98","$6.66","$13.32","66.67%","200.00%","$0.00","$1.40","$21.38","0.00","$0.00","$21.38"
"","VAPO GEN PT80 S","4349860728","1","MOD","GLOBAL DIST","0.00","$59.99","$30.00","$29.99","49.99%","99.97%","$0.00","$4.20","$64.19","0.00","$0.00","$64.19"
"","VAPO LUXE X 0.4 POD","4349860928","2","MOD","GLOBAL DIST","4.00","$9.99","$5.00","$4.99","49.95%","99.80%","$0.00","$0.70","$10.69","0.00","$0.00","$10.69"
"","VAPO LUXE X 0.6 POD","4349861674","32","MOD","GLOBAL DIST","26.00","$159.84","$72.00","$83.58","52.29%","122.00%","$4.26","$10.90","$166.48","0.00","$0.00","$166.48"
"","AL FAKHER 1.76 OZ HOOKAH FLAVOR","9110816199","81","SHISHA ACC","GLOBAL DIST","333.00","$404.19","$178.20","$211.90","52.43%","126.82%","$14.09","$27.36","$417.46","0.00","$0.00","$417.46"
"","HEMP LEAF SL ASHTRAY","4176419260","2","CIGAR ACC","GLOBAL DIST","4.00","$15.98","$6.66","$9.32","58.32%","139.94%","$0.00","$1.12","$17.10","0.00","$0.00","$17.10"
"","GLASS ASHTRAY N 101-1","6664000009","3","CIGAR ACC","GLOBAL DIST","3.00","$17.97","$6.51","$11.38","63.33%","176.04%","$0.08","$1.25","$19.14","0.00","$0.00","$19.14"
"","WHISKEY CIGAR GLASS","9408025550","2","CIGAR ACC","GLOBAL DIST","10.00","$25.98","$12.00","$13.98","53.81%","116.50%","$0.00","$1.82","$27.80","0.00","$0.00","$27.80"
"","GLASS ASHTRAY GA 50","8163592050","1","CIGAR ACC","GLOBAL DIST","4.00","$8.99","$3.50","$5.49","61.07%","156.86%","$0.00","$0.63","$9.62","0.00","$0.00","$9.62"
"","ASH 22","9660386553","1","CIGAR ACC","GLOBAL DIST","10.00","$3.99","$1.00","$2.99","74.94%","299.00%","$0.00","$0.28","$4.27","0.00","$0.00","$4.27"
"","ASH 5","9660386546","1","CIGAR ACC","GLOBAL DIST","10.00","$3.99","$0.92","$3.07","76.94%","333.70%","$0.00","$0.28","$4.27","0.00","$0.00","$4.27"
"","ASH 139","8163571139","1","CIGAR ACC","GLOBAL DIST","11.00","$6.99","$2.50","$3.05","43.63%","179.60%","$1.44","$0.39","$5.94","0.00","$0.00","$5.94"
"","AL FAKHER 1.76 OZ HOOKAH FLAVOR","9110816157","2","SHISHA ACC","GLOBAL DIST","8.00","$9.98","$4.40","$5.58","55.91%","126.82%","$0.00","$0.70","$10.68","0.00","$0.00","$10.68"
"","SZ BUTT BUCKET","9999942748","1","CIGAR ACC","GLOBAL DIST","5.00","$9.99","$3.67","$4.27","42.74%","172.21%","$2.05","$0.56","$8.50","0.00","$0.00","$8.50"
"","ZD 77","8501150177","1","TORCH LIGHTERS","GLOBAL DIST","4.00","$19.99","$8.57","$11.42","57.13%","133.26%","$0.00","$1.40","$21.39","0.00","$0.00","$21.39"
"","ZD 95","8163553647","5","TORCH LIGHTERS","GLOBAL DIST","1.00","$84.95","$36.25","$48.70","57.33%","134.34%","$0.00","$5.95","$90.90","0.00","$0.00","$90.90"
"","ZD 91","8163553591","2","TORCH LIGHTERS","GLOBAL DIST","7.00","$39.98","$15.60","$24.38","60.98%","156.28%","$0.00","$2.80","$42.78","0.00","$0.00","$42.78"
"","ZD 80","8501150180","1","TORCH LIGHTERS","GLOBAL DIST","8.00","$23.99","$8.33","$13.66","56.94%","188.00%","$2.00","$1.54","$23.53","0.00","$0.00","$23.53"
"","ZD 96","8163553594","6","TORCH LIGHTERS","GLOBAL DIST","3.00","$119.94","$45.00","$70.67","58.92%","166.53%","$4.27","$8.10","$123.77","0.00","$0.00","$123.77"
"","RONSONOL 12 FL OZ","3790099063","1","LIGHTER","GLOBAL DIST","11.00","$7.99","$3.33","$4.66","58.32%","139.94%","$0.00","$0.56","$8.55","0.00","$0.00","$8.55"
"","PLUTO'S BUTANE","6507101328","8","LIGHTER","GLOBAL DIST","3.00","$47.92","$22.64","$24.84","51.84%","111.66%","$0.44","$3.33","$50.81","0.00","$0.00","$50.81"
"","RAW  POKER HAT ","1616529690","6","RAW NOVELTY","GLOBAL DIST","6.00","$137.94","$48.00","$87.94","63.75%","187.37%","$2.00","$9.52","$145.46","0.00","$0.00","$145.46"
"","RAW POMPOM HAT","1616528818","2","MISC","GLOBAL DIST","3.00","$39.98","$17.50","$20.48","51.23%","128.46%","$2.00","$2.66","$40.64","0.00","$0.00","$40.64"
"","SB H 21","1149056071","3","LIGHTER","GLOBAL DIST","8.00","$17.97","$6.24","$11.73","65.28%","187.98%","$0.00","$1.26","$19.23","0.00","$0.00","$19.23"
"","SCORCH 61410","1876601207","1","TORCH LIGHTERS","GLOBAL DIST","4.00","$19.99","$8.50","$11.49","57.48%","135.18%","$0.00","$1.40","$21.39","0.00","$0.00","$21.39"
"","SCORCH 61681","1876601485","12","TORCH LIGHTERS","GLOBAL DIST","0.00","$179.88","$78.00","$101.20","56.26%","130.62%","$0.68","$12.55","$191.75","0.00","$0.00","$191.75"
"","SCORCH 61595","1876601395","2","TORCH LIGHTERS","GLOBAL DIST","9.00","$45.98","$18.00","$27.98","60.85%","155.44%","$0.00","$3.22","$49.20","0.00","$0.00","$49.20"
"","SZ MATCHES","9408022570","6","LIGHTER","GLOBAL DIST","33.00","$29.94","$15.00","$14.50","48.43%","99.60%","$0.44","$2.07","$31.57","0.00","$0.00","$31.57"
"","SB L 22","1149056356","10","TORCH LIGHTERS","GLOBAL DIST","0.00","$79.90","$33.30","$46.60","58.32%","139.94%","$0.00","$5.60","$85.50","0.00","$0.00","$85.50"
"","SCORCH 61710","1876601514","7","TORCH LIGHTERS","GLOBAL DIST","3.00","$111.93","$47.25","$64.68","57.79%","136.89%","$0.00","$7.84","$119.77","0.00","$0.00","$119.77"
"","SCORCH 61679","1876601483","1","TORCH LIGHTERS","GLOBAL DIST","10.00","$22.99","$9.00","$13.19","57.37%","155.44%","$0.80","$1.55","$23.74","0.00","$0.00","$23.74"
"","SZ UTILITY TORCH","9408025965","11","TORCH LIGHTERS","GLOBAL DIST","0.00","$43.89","$22.88","$19.39","44.18%","91.83%","$1.62","$2.97","$45.24","0.00","$0.00","$45.24"
"","MT 50","8501150250","5","TORCH LIGHTERS","GLOBAL DIST","2.00","$114.95","$43.55","$66.19","57.58%","163.95%","$5.21","$7.68","$117.42","0.00","$0.00","$117.42"
"","ZD 83","8163553531","4","TORCH LIGHTERS","GLOBAL DIST","3.00","$99.96","$37.16","$62.80","62.83%","169.00%","$0.00","$7.00","$106.96","0.00","$0.00","$106.96"
"","ZD 97","8163553595","2","TORCH LIGHTERS","GLOBAL DIST","7.00","$37.98","$15.12","$22.37","58.90%","151.19%","$0.49","$2.63","$40.12","0.00","$0.00","$40.12"
"","LUCIENNE BUTANE","8163500102","9","LIGHTER","GRANITE CITY","15.00","$53.91","$26.34","$26.96","50.01%","104.67%","$0.61","$3.74","$57.04","0.00","$0.00","$57.04"
"","SB BUTANE","1149090110","11","LIGHTER","GLOBAL DIST","0.00","$54.89","$22.00","$32.89","59.92%","149.50%","$0.00","$3.85","$58.74","0.00","$0.00","$58.74"
"","SCORCH 61629","1876601431","7","TORCH LIGHTERS","GLOBAL DIST","0.00","$123.93","$50.75","$70.38","56.79%","144.20%","$2.80","$8.48","$129.61","0.00","$0.00","$129.61"
"","SCORCH 61673","1876601477","2","TORCH LIGHTERS","GLOBAL DIST","10.00","$57.98","$24.00","$33.41","57.62%","141.58%","$0.57","$4.02","$61.43","0.00","$0.00","$61.43"
"","SCORCH 61603","1876601405","2","TORCH LIGHTERS","GLOBAL DIST","4.00","$49.98","$20.00","$23.76","47.54%","149.90%","$6.22","$3.06","$46.82","0.00","$0.00","$46.82"
"","SCORCH 61566","1876601366","2","TORCH LIGHTERS","GLOBAL DIST","1.00","$43.98","$17.50","$23.73","53.96%","151.31%","$2.75","$2.89","$44.12","0.00","$0.00","$44.12"
"","SCORCH 61590","1876601390","1","TORCH LIGHTERS","GLOBAL DIST","6.00","$24.99","$9.22","$15.77","63.11%","171.04%","$0.00","$1.75","$26.74","0.00","$0.00","$26.74"
"","SCORCH 61675","1876601479","5","TORCH LIGHTERS","GLOBAL DIST","4.00","$134.95","$50.00","$79.58","58.97%","169.90%","$5.37","$9.07","$138.65","0.00","$0.00","$138.65"
"","SCORCH 61663","1876601467","5","TORCH LIGHTERS","GLOBAL DIST","3.00","$134.95","$50.00","$78.95","58.50%","169.90%","$6.00","$9.03","$137.98","0.00","$0.00","$137.98"
"","SB CIGAR TORCH 61600","1876601402","1","TORCH LIGHTERS","GLOBAL DIST","1.00","$29.99","$11.50","$18.49","61.65%","160.78%","$0.00","$2.10","$32.09","0.00","$0.00","$32.09"
"","RANDY'S SCREEN","5000455756","8","MISC","GLOBAL DIST","351.00","$10.32","$2.88","$7.12","68.99%","258.33%","$0.32","$0.70","$10.70","0.00","$0.00","$10.70"
"","AL CAPONE RUM DIPPED","1751912111","9","CIGARILLO","","46.00","$22.41","$16.02","$5.94","26.51%","39.89%","$0.45","$1.52","$23.48","0.00","$0.00","$23.48"
"","AL CAPONE SWEET","1751901101","16","CIGARILLO","GLOBAL DIST","44.00","$39.84","$28.48","$11.25","28.24%","39.89%","$0.11","$2.76","$42.49","0.00","$0.00","$42.49"
"","TOKER POKER","5000751400","22","MISC","GLOBAL DIST","1.00","$197.78","$93.28","$103.77","52.47%","112.03%","$0.73","$13.81","$210.86","0.00","$0.00","$210.86"
"","VUSE MENTHOL 5% 1 PK","4920502213","3","E CIG","HENERY'S","7.00","$38.97","$24.12","$14.85","38.11%","61.57%","$0.00","$2.73","$41.70","0.00","$0.00","$41.70"
"","VUSE KIT","4920501859","5","E CIG","HENERY'S","4.00","$49.95","$36.85","$13.10","26.23%","35.55%","$0.00","$3.50","$53.45","0.00","$0.00","$53.45"
"","VUSE 5% 2PK","4920501934","7","E CIG","HENERY'S","3.00","$103.98","$84.45","$18.76","18.04%","23.13%","$0.77","$7.23","$110.44","0.00","$0.00","$110.44"
"","CLIPPER JET","9158504123","35","LIGHTER","HENERY'S","8.00","$104.65","$57.05","$46.07","44.02%","83.44%","$1.53","$7.24","$113.35","1.00","$3.20","$110.15"
"","CLIPPER JET FLAME","9158504593","12","LIGHTER","GLOBAL DIST","35.00","$21.48","$11.76","$9.08","42.27%","82.65%","$0.64","$1.49","$22.33","0.00","$0.00","$22.33"
"","CLIPPER ZIG ZAG","9158504129","6","LIGHTER","GLOBAL DIST","24.00","$20.94","$10.62","$10.32","49.28%","97.18%","$0.00","$1.46","$22.40","0.00","$0.00","$22.40"
"","CLIPPER ZIGZAG MINI TUBE","9158504288","9","LIGHTER","GLOBAL DIST","10.00","$26.91","$13.86","$11.51","42.77%","94.16%","$1.54","$1.78","$27.15","0.00","$0.00","$27.15"
"","CLIPPER 420","9158504621","6","LIGHTER","GLOBAL DIST","51.00","$17.94","$10.26","$7.68","42.81%","74.85%","$0.00","$1.26","$19.20","0.00","$0.00","$19.20"
"","JUUL VIRGINIA TOBACCO 5% 4PK","1991301142","8","JUUL","HENERY'S","5.00","$183.92","$107.20","$76.72","41.71%","71.57%","$0.00","$12.88","$196.80","0.00","$0.00","$196.80"
"","MISSOURI MEERS CORN COB","9999933302","6","CIGAR ACC","PHILIPS & KING","18.00","$29.94","$15.00","$14.94","49.90%","99.60%","$0.00","$2.10","$32.04","0.00","$0.00","$32.04"
"","TRUE STORY 20K SPEARMINT","9831254121","37","TRUE STORY","MIDWEST","0.00","$526.63","$237.00","$283.94","53.92%","122.21%","$5.69","$36.43","$557.37","0.00","$0.00","$557.37"
"","KENTUCKY SILVER 6OZ","9872100239","3","TOBACCO KENTUCKY","PHILIPS & KING","4.00","$20.47","$17.70","$2.77","13.53%","15.65%","$0.00","$1.43","$21.90","0.00","$0.00","$21.90"
"","KENTUCKY RED 8OZ","9872100256","1","TOBACCO KENTUCKY","PHILIPS & KING","4.00","$7.79","$6.65","$1.14","14.63%","17.14%","$0.00","$0.55","$8.34","0.00","$0.00","$8.34"
"","KENTUCKY RED 16OZ","9872100222","1","TOBACCO KENTUCKY","PHILIPS & KING","6.00","$14.99","$12.73","$2.26","15.08%","17.75%","$0.00","$1.05","$16.04","0.00","$0.00","$16.04"
"","KENTUCKY MENTHOL 16OZ","9872100223","1","TOBACCO KENTUCKY","PHILIPS & KING","6.00","$14.99","$12.73","$2.26","15.08%","17.75%","$0.00","$1.05","$16.04","0.00","$0.00","$16.04"
"","ARTURO FUENTE CHATEAU KING T NT","4318210054","1","PREMIUM CIGARS","PHILIPS & KING","23.00","$14.84","$11.40","$3.44","23.19%","30.18%","$0.00","$1.04","$15.88","0.00","$0.00","$15.88"
"","ARTURO FUENTE PETIT CORONA NT","4318210205","3","PREMIUM CIGARS","PHILIPS & KING","22.00","$23.17","$16.62","$6.55","28.27%","39.42%","$0.00","$1.62","$24.79","0.00","$0.00","$24.79"
"","MY FATHER LE BIJOU TOROS 1922","1767301067","1","PREMIUM CIGARS","PHILIPS & KING","45.00","$14.49","$9.86","$4.63","31.95%","46.96%","$0.00","$1.01","$15.50","0.00","$0.00","$15.50"
"","ARTURO FUENTE HEMINGWAY WORK OF ART NT","4318212276","3","PREMIUM CIGARS","PHILIPS & KING","22.00","$37.77","$27.36","$10.41","27.57%","38.06%","$0.00","$2.64","$40.41","0.00","$0.00","$40.41"
"","AF CHURCHILL MD","4318210076","18","PREMIUM CIGARS","PHILIPS & KING","22.00","$173.08","$131.40","$41.68","24.08%","31.72%","$0.00","$12.11","$185.19","0.00","$0.00","$185.19"
"","A. FUENTE CHURCHILL","4318210079","1","PREMIUM CIGARS","PHILIPS & KING","24.00","$10.99","$7.42","-$1.43","-13.01%","48.11%","$5.00","$0.42","$6.41","0.00","$0.00","$6.41"
"","AF EXQUISITOS MD","4318210147","6","PREMIUM CIGARS","PHILIPS & KING","43.00","$23.54","$16.02","$7.52","31.95%","46.95%","$0.00","$1.65","$25.19","0.00","$0.00","$25.19"
"","AF EXQUISTOS NT ","4318210150","2","PREMIUM CIGARS","PHILIPS & KING","48.00","$7.58","$5.30","$2.28","30.09%","43.04%","$0.00","$0.53","$8.11","0.00","$0.00","$8.11"
"","AF SPANISH LONSDALE NT","4318210253","3","PREMIUM CIGARS","PHILIPS & KING","22.00","$26.07","$17.97","$8.10","31.07%","45.08%","$0.00","$1.83","$27.90","0.00","$0.00","$27.90"
"","CUBAN ROUNDS CHURCHILL","5166718691","1","PREMIUM CIGARS","PHILIPS & KING","39.00","$6.99","$4.81","$1.65","23.61%","45.32%","$0.53","$0.45","$6.91","0.00","$0.00","$6.91"
"","CUBAN ROUNDS CHURCHILL 3 PK","5166718686","2","PREMIUM CIGARS","PHILIPS & KING","6.00","$16.98","$11.34","$5.64","33.22%","49.74%","$0.00","$1.18","$18.16","0.00","$0.00","$18.16"
"","COHIBA BLACK PEQUENOS CIG","8967402814","3","PREMIUM CIGARS","PHILIPS & KING","2.00","$91.47","$63.12","$28.35","30.99%","44.91%","$0.00","$6.39","$97.86","0.00","$0.00","$97.86"
"","PUNCH CIGARILLOS 20 PK TIN","8967406038","5","PREMIUM CIGARS","PHILIPS & KING","2.00","$89.95","$62.65","$27.30","30.35%","43.58%","$0.00","$6.30","$96.25","0.00","$0.00","$96.25"
"","CAO MOONTRANCE TIN","5212510701","7","PREMIUM CIGARS","PHILIPS & KING","2.00","$162.08","$113.47","$47.29","29.18%","42.84%","$1.32","$11.23","$171.99","0.00","$0.00","$171.99"
"","CR TORO CONN","5166723259","12","PREMIUM CIGARS","PHILIPS & KING","8.00","$32.59","$20.16","$12.43","38.14%","61.66%","$0.00","$2.28","$34.87","0.00","$0.00","$34.87"
"","CR CHURCHILL CONN","5166723235","16","PREMIUM CIGARS","PHILIPS & KING","4.00","$45.15","$28.80","$15.70","34.77%","56.77%","$0.65","$3.12","$47.62","0.00","$0.00","$47.62"
"","CR ROBUSTO CONN","5166723051","27","PREMIUM CIGARS","PHILIPS & KING","12.00","$61.00","$39.56","$21.36","35.02%","54.21%","$0.08","$4.26","$65.18","0.00","$0.00","$65.18"
